Customer_Name,Product_Level_1,Product_Level_2,Application,Plant,Predicted_Margin_Per_Unit
Energy Dynamics,Textiles,Acrylic,Infrastructure,Europe Manufacturing,30.72
Construction Materials Co,Metals,Iron Ore,Mining,Oceania Facility,272.46
Beverage Industry Supply,Agriculture,Rice,Infrastructure,South America Facility,109.63
Paper and Pulp Industries,Minerals,Limestone,Construction,Oceania Facility,164.95
Solar Panel Materials,Minerals,Fluorite,Food & Beverage,Central America Hub,167.18
Medical Grade Metals,Metals,Steel,Aerospace,North Asia Operations,272.95
Titanium Specialists,Minerals,Gypsum,Chemicals,South Asia Plant,165.44
Industrial Supply Ltd,Plastics,Polystyrene,Manufacturing,Eastern Europe Facility,239.2
Petroleum Products Ltd,Chemicals,Propylene,Infrastructure,South Asia Plant,437.83
Agricultural Commodities,Metals,Iron Ore,Chemicals,Oceania Facility,271.36
Coal Mining Corp,Chemicals,Methanol,Construction,North Asia Operations,438.19
Copper Traders International,Plastics,ABS,Chemicals,Europe Manufacturing,239.08
Aluminum Corp,Minerals,Barite,Packaging,North America Plant,164.1
Coal Mining Corp,Minerals,Fluorite,Cosmetics,South Asia Plant,162.16
Copper Traders International,Metals,Iron Ore,Agriculture,Oceania Facility,275.28
Glass Manufacturing Co,Minerals,Barite,Cosmetics,North Asia Operations,164.41
Titanium Specialists,Energy,Biofuels,Manufacturing,Eastern Europe Facility,57.16
Construction Materials Co,Agriculture,Rubber,Electronics,North America Plant,111.05
Chemical Industries Ltd,Plastics,Polycarbonate,Oil & Gas,Western Europe Plant,238.48
Energy Dynamics,Minerals,Feldspar,Construction,Europe Manufacturing,163.65
Ceramic Materials Ltd,Chemicals,Propylene,Food & Beverage,South America Facility,453.2
Medical Grade Metals,Chemicals,PVC,Chemicals,Western Europe Plant,439.24
Food Processing Materials,Chemicals,PVC,Textiles,Central Asia Plant,432.77
Precious Metals Exchange,Energy,Biofuels,Electronics,North America Plant,56.04
Ceramic Materials Ltd,Minerals,Feldspar,Energy,Caribbean Plant,165.75
Premium Metals Corp,Plastics,PVC,Oil & Gas,Eastern Europe Facility,245.93
Glass Manufacturing Co,Plastics,Polycarbonate,Mining,North America Plant,240.0
AgriTech Solutions,Agriculture,Coffee,Electronics,North America Plant,111.45
Mining Operations LLC,Agriculture,Rubber,Infrastructure,Europe Manufacturing,112.56
Petroleum Products Ltd,Chemicals,Sulfuric Acid,Food & Beverage,Middle East Plant,449.8
Rubber and Tire Materials,Plastics,Polypropylene,Healthcare,Central America Hub,235.97
Chemical Industries Ltd,Agriculture,Sugar,Healthcare,Asia Pacific Hub,112.36
Paper and Pulp Industries,Minerals,Gypsum,Chemicals,Europe Manufacturing,165.28
Industrial Supply Ltd,Electronics,Rare Earth Elements,Automotive,Central Asia Plant,475.17
Mining Operations LLC,Metals,Zinc,Construction,Eastern Europe Facility,278.06
Agricultural Commodities,Agriculture,Palm Oil,Oil & Gas,Oceania Facility,109.67
Aerospace Alloys Corp,Textiles,Cotton Fiber,Automotive,Eastern Europe Facility,28.85
Aerospace Alloys Corp,Energy,Biofuels,Textiles,Central America Hub,58.36
Premium Metals Corp,Chemicals,Propylene,Healthcare,North Asia Operations,457.36
Petroleum Products Ltd,Minerals,Barite,Textiles,Eastern Europe Facility,165.74
Petroleum Products Ltd,Minerals,Limestone,Aerospace,Southeast Asia Hub,165.32
Iron Ore Suppliers,Minerals,Barite,Packaging,Central Asia Plant,170.8
Energy Dynamics,Agriculture,Wheat,Healthcare,Africa Operations,111.12
Chemical Industries Ltd,Agriculture,Rubber,Infrastructure,Central Asia Plant,111.71
Coal Mining Corp,Plastics,PET,Construction,Eastern Europe Facility,238.98
Automotive Materials,Metals,Steel,Aerospace,Southeast Asia Hub,270.06
Mining Operations LLC,Textiles,Polyester,Textiles,Africa Operations,27.62
Solar Panel Materials,Minerals,Feldspar,Automotive,South America Facility,164.17
Energy Dynamics,Minerals,Feldspar,Oil & Gas,Central America Hub,164.12
Petroleum Products Ltd,Textiles,Linen,Packaging,Asia Pacific Hub,30.85
Petroleum Products Ltd,Agriculture,Cocoa,Pharmaceuticals,Western Europe Plant,111.6
Electronics Components Ltd,Chemicals,Caustic Soda,Aerospace,Caribbean Plant,445.48
Plastic Polymers Co,Agriculture,Palm Oil,Cosmetics,Middle East Plant,111.74
Paper and Pulp Industries,Minerals,Talc,Manufacturing,Middle East Plant,167.07
Industrial Supply Ltd,Metals,Copper,Automotive,South America Facility,269.4
Wood Products International,Energy,LNG,Renewable Energy,Middle East Plant,57.03
Metro Trading Co,Plastics,Polycarbonate,Pharmaceuticals,South Asia Plant,239.07
Iron Ore Suppliers,Metals,Scrap Metal,Aerospace,South America Facility,278.55
Aerospace Alloys Corp,Textiles,Cotton Fiber,Energy,Central America Hub,30.8
Coal Mining Corp,Minerals,Silica,Oil & Gas,Southeast Asia Hub,161.22
Cosmetic Ingredients,Energy,Natural Gas,Defense,North Asia Operations,57.57
Battery Materials Corp,Minerals,Kaolin,Infrastructure,Europe Manufacturing,166.56
Pharmaceutical Raw Materials,Textiles,Linen,Agriculture,Asia Pacific Hub,27.44
Medical Grade Metals,Energy,Biofuels,Pharmaceuticals,Western Europe Plant,55.96
Rare Earth Elements Co,Agriculture,Coffee,Infrastructure,Western Europe Plant,111.1
Petroleum Products Ltd,Textiles,Silk,Electronics,Southeast Asia Hub,28.54
Paper and Pulp Industries,Minerals,Feldspar,Mining,Eastern Europe Facility,167.15
Agricultural Commodities,Chemicals,Sulfuric Acid,Automotive,Central Asia Plant,438.88
Coal Mining Corp,Agriculture,Rubber,Automotive,Europe Manufacturing,110.82
Natural Gas Traders,Energy,Petroleum Products,Chemicals,Middle East Plant,57.21
Cosmetic Ingredients,Metals,Titanium,Construction,North Asia Operations,273.33
Energy Dynamics,Minerals,Talc,Mining,Caribbean Plant,167.78
Natural Gas Traders,Metals,Copper,Telecommunications,Asia Pacific Hub,276.31
Pharmaceutical Raw Materials,Energy,Coal,Textiles,Caribbean Plant,54.09
Natural Gas Traders,Minerals,Barite,Aerospace,Caribbean Plant,163.43
Wood Products International,Minerals,Fluorite,Defense,Central America Hub,167.08
Metro Trading Co,Minerals,Fluorite,Telecommunications,Central America Hub,165.4
Paper and Pulp Industries,Agriculture,Wheat,Mining,Central America Hub,113.37
Solar Panel Materials,Chemicals,PVC,Manufacturing,Middle East Plant,436.88
Textile Raw Materials,Minerals,Limestone,Agriculture,Caribbean Plant,164.32
Ceramic Materials Ltd,Energy,Coal,Packaging,Central Asia Plant,56.4
Cosmetic Ingredients,Textiles,Linen,Automotive,North Asia Operations,28.84
Plastic Polymers Co,Agriculture,Cocoa,Energy,Europe Manufacturing,112.16
Ceramic Materials Ltd,Agriculture,Rice,Oil & Gas,South Asia Plant,111.7
Metro Trading Co,Textiles,Silk,Construction,South America Facility,26.47
Coal Mining Corp,Metals,Copper,Agriculture,Eastern Europe Facility,276.56
Nickel Alloys Corp,Energy,LNG,Oil & Gas,Caribbean Plant,57.62
Solar Panel Materials,Textiles,Nylon,Electronics,Southeast Asia Hub,26.9
Nickel Alloys Corp,Electronics,Indium,Renewable Energy,Western Europe Plant,506.89
AgriTech Solutions,Plastics,Polystyrene,Oil & Gas,Caribbean Plant,238.02
Zinc and Lead Traders,Plastics,Nylon,Agriculture,Southeast Asia Hub,232.78
Industrial Supply Ltd,Minerals,Talc,Textiles,Middle East Plant,165.79
Pharmaceutical Raw Materials,Agriculture,Corn,Infrastructure,North Asia Operations,111.78
Precious Metals Exchange,Minerals,Talc,Telecommunications,North America Plant,166.85
Glass Manufacturing Co,Metals,Tin,Oil & Gas,Central America Hub,271.88
Wood Products International,Electronics,Rare Earth Elements,Renewable Energy,Asia Pacific Hub,510.09
Steel Manufacturing Co,Minerals,Gypsum,Agriculture,Central America Hub,166.93
Coal Mining Corp,Chemicals,Methanol,Electronics,Eastern Europe Facility,458.25
Mining Operations LLC,Minerals,Limestone,Construction,Western Europe Plant,165.92
Chemical Industries Ltd,Minerals,Feldspar,Oil & Gas,South Asia Plant,165.82
Plastic Polymers Co,Electronics,Lithium,Chemicals,Asia Pacific Hub,492.64
Glass Manufacturing Co,Textiles,Acrylic,Manufacturing,North Asia Operations,29.65
Wood Products International,Minerals,Talc,Healthcare,Central Asia Plant,165.07
Textile Raw Materials,Chemicals,Sulfuric Acid,Renewable Energy,South Asia Plant,453.01
Automotive Materials,Energy,Biofuels,Oil & Gas,Africa Operations,57.19
Industrial Supply Ltd,Electronics,Cobalt,Oil & Gas,Eastern Europe Facility,481.24
Rubber and Tire Materials,Textiles,Polyester,Packaging,Central Asia Plant,28.1
Global Commodities Inc,Metals,Lead,Textiles,Africa Operations,272.78
Electronics Components Ltd,Energy,Biofuels,Mining,Europe Manufacturing,57.31
Natural Gas Traders,Chemicals,Caustic Soda,Pharmaceuticals,Africa Operations,456.38
Wood Products International,Plastics,PVC,Cosmetics,Central Asia Plant,240.09
Wood Products International,Metals,Tin,Oil & Gas,South Asia Plant,273.21
Beverage Industry Supply,Chemicals,Propylene,Packaging,South Asia Plant,451.0
Cosmetic Ingredients,Textiles,Rayon,Oil & Gas,Western Europe Plant,29.34
Nickel Alloys Corp,Minerals,Limestone,Automotive,Central America Hub,168.23
Titanium Specialists,Metals,Tin,Telecommunications,Eastern Europe Facility,276.65
Rubber and Tire Materials,Metals,Aluminum,Automotive,North Asia Operations,273.28
Global Commodities Inc,Textiles,Silk,Oil & Gas,Western Europe Plant,29.06
Aerospace Alloys Corp,Plastics,PET,Textiles,Western Europe Plant,237.88
Steel Manufacturing Co,Minerals,Kaolin,Food & Beverage,North Asia Operations,166.48
Precious Metals Exchange,Chemicals,Ammonia,Food & Beverage,South America Facility,443.62
Energy Dynamics,Chemicals,PVC,Infrastructure,Eastern Europe Facility,447.57
Battery Materials Corp,Textiles,Silk,Electronics,Central Asia Plant,27.41
Battery Materials Corp,Minerals,Fluorite,Defense,Oceania Facility,165.25
Steel Manufacturing Co,Electronics,Germanium,Healthcare,North Asia Operations,501.35
Titanium Specialists,Plastics,Polypropylene,Chemicals,Central Asia Plant,238.47
Industrial Supply Ltd,Metals,Aluminum,Food & Beverage,North Asia Operations,269.22
Aluminum Corp,Energy,LNG,Oil & Gas,North America Plant,58.77
Battery Materials Corp,Textiles,Cotton Fiber,Aerospace,Africa Operations,28.75
Textile Raw Materials,Agriculture,Soybeans,Defense,South America Facility,112.14
Wood Products International,Energy,Biofuels,Automotive,North Asia Operations,56.71
AgriTech Solutions,Minerals,Limestone,Electronics,South Asia Plant,165.94
Mining Operations LLC,Plastics,Polypropylene,Cosmetics,North Asia Operations,242.08
Pharmaceutical Raw Materials,Energy,LNG,Electronics,Western Europe Plant,55.97
Wood Products International,Agriculture,Sugar,Aerospace,North Asia Operations,111.16
Wood Products International,Metals,Tin,Agriculture,Middle East Plant,275.37
Metro Trading Co,Agriculture,Rubber,Electronics,South America Facility,109.55
Rubber and Tire Materials,Plastics,PET,Aerospace,Africa Operations,236.34
Battery Materials Corp,Energy,Natural Gas,Infrastructure,Central America Hub,58.11
Mining Operations LLC,Agriculture,Palm Oil,Pharmaceuticals,Middle East Plant,111.73
Aerospace Alloys Corp,Minerals,Gypsum,Mining,Asia Pacific Hub,168.1
Copper Traders International,Minerals,Fluorite,Renewable Energy,Western Europe Plant,166.17
Rare Earth Elements Co,Chemicals,Sulfuric Acid,Oil & Gas,Central America Hub,449.07
Coal Mining Corp,Metals,Aluminum,Mining,North Asia Operations,271.48
Natural Gas Traders,Agriculture,Sugar,Energy,North America Plant,112.33
Aluminum Corp,Energy,Diesel,Energy,Africa Operations,56.46
Titanium Specialists,Energy,Natural Gas,Healthcare,Southeast Asia Hub,56.33
Coal Mining Corp,Plastics,Nylon,Manufacturing,North Asia Operations,237.57
Industrial Supply Ltd,Plastics,Polyethylene,Defense,Africa Operations,238.9
Metro Trading Co,Metals,Lead,Chemicals,South Asia Plant,275.06
Aluminum Corp,Metals,Steel,Construction,South Asia Plant,263.96
Steel Manufacturing Co,Textiles,Polyester,Energy,North Asia Operations,29.75
Beverage Industry Supply,Agriculture,Rubber,Renewable Energy,Eastern Europe Facility,110.91
Titanium Specialists,Metals,Iron Ore,Automotive,Caribbean Plant,267.69
Beverage Industry Supply,Chemicals,Ethylene,Renewable Energy,Central America Hub,423.46
Precious Metals Exchange,Textiles,Polyester,Oil & Gas,Eastern Europe Facility,30.16
Cosmetic Ingredients,Chemicals,Propylene,Telecommunications,Central Asia Plant,444.36
Paper and Pulp Industries,Chemicals,Propylene,Renewable Energy,North Asia Operations,447.86
Zinc and Lead Traders,Chemicals,Urea,Oil & Gas,Middle East Plant,502.67
AgriTech Solutions,Chemicals,Ethylene,Food & Beverage,Southeast Asia Hub,445.68
Zinc and Lead Traders,Minerals,Barite,Food & Beverage,North Asia Operations,163.45
Industrial Supply Ltd,Metals,Scrap Metal,Agriculture,Africa Operations,271.1
Iron Ore Suppliers,Textiles,Acrylic,Oil & Gas,Asia Pacific Hub,32.72
Premium Metals Corp,Plastics,PVC,Infrastructure,Africa Operations,235.35
Wood Products International,Minerals,Gypsum,Energy,South Asia Plant,166.42
AgriTech Solutions,Agriculture,Cotton,Renewable Energy,North Asia Operations,111.35
Electronics Components Ltd,Electronics,Germanium,Food & Beverage,Caribbean Plant,503.93
Steel Manufacturing Co,Plastics,PVC,Electronics,Middle East Plant,242.28
Cosmetic Ingredients,Textiles,Cotton Fiber,Renewable Energy,Africa Operations,28.93
Precious Metals Exchange,Plastics,Polycarbonate,Automotive,North Asia Operations,238.37
AgriTech Solutions,Plastics,Polyethylene,Electronics,Oceania Facility,238.29
Precious Metals Exchange,Energy,Gasoline,Energy,North Asia Operations,57.7
Rubber and Tire Materials,Textiles,Nylon,Renewable Energy,Central Asia Plant,27.66
Plastic Polymers Co,Textiles,Nylon,Textiles,Africa Operations,27.9
Energy Dynamics,Agriculture,Wheat,Cosmetics,North America Plant,112.51
Ceramic Materials Ltd,Electronics,Silicon,Chemicals,North America Plant,483.74
Construction Materials Co,Energy,Petroleum Products,Pharmaceuticals,North Asia Operations,56.65
Rare Earth Elements Co,Plastics,PVC,Construction,Africa Operations,238.24
Energy Dynamics,Plastics,PET,Cosmetics,Oceania Facility,239.32
AgriTech Solutions,Agriculture,Corn,Telecommunications,North America Plant,110.72
Food Processing Materials,Metals,Steel,Textiles,South Asia Plant,273.34
Industrial Supply Ltd,Metals,Nickel,Chemicals,Caribbean Plant,281.25
Battery Materials Corp,Agriculture,Sugar,Textiles,Central America Hub,112.35
Copper Traders International,Plastics,ABS,Automotive,Western Europe Plant,238.85
Glass Manufacturing Co,Electronics,Silicon,Cosmetics,North Asia Operations,487.25
Titanium Specialists,Chemicals,PVC,Textiles,Western Europe Plant,462.42
Construction Materials Co,Minerals,Limestone,Defense,Caribbean Plant,164.69
Glass Manufacturing Co,Chemicals,Urea,Manufacturing,Western Europe Plant,445.38
Plastic Polymers Co,Minerals,Silica,Infrastructure,Central Asia Plant,166.47
Paper and Pulp Industries,Metals,Zinc,Aerospace,Oceania Facility,274.33
Global Commodities Inc,Energy,Gasoline,Renewable Energy,Western Europe Plant,57.01
Textile Raw Materials,Plastics,Nylon,Food & Beverage,Oceania Facility,240.64
Copper Traders International,Energy,Petroleum Products,Renewable Energy,Western Europe Plant,56.98
Automotive Materials,Energy,Gasoline,Mining,South Asia Plant,56.59
Coal Mining Corp,Plastics,ABS,Infrastructure,Eastern Europe Facility,238.98
Glass Manufacturing Co,Chemicals,Urea,Mining,Western Europe Plant,451.15
Wind Energy Components,Plastics,Polypropylene,Telecommunications,Oceania Facility,239.54
Wind Energy Components,Chemicals,Ethylene,Infrastructure,Eastern Europe Facility,455.78
Titanium Specialists,Chemicals,Caustic Soda,Food & Beverage,Central America Hub,474.34
Mining Operations LLC,Minerals,Gypsum,Pharmaceuticals,Western Europe Plant,166.54
Industrial Supply Ltd,Agriculture,Coffee,Defense,Eastern Europe Facility,113.75
Nickel Alloys Corp,Electronics,Silicon,Electronics,Eastern Europe Facility,477.28
Aerospace Alloys Corp,Agriculture,Cotton,Textiles,Central Asia Plant,109.58
Metro Trading Co,Plastics,Polystyrene,Healthcare,Middle East Plant,244.63
Iron Ore Suppliers,Metals,Titanium,Aerospace,Middle East Plant,280.39
Construction Materials Co,Plastics,Polyethylene,Chemicals,Eastern Europe Facility,238.82
Textile Raw Materials,Metals,Iron Ore,Healthcare,Central Asia Plant,273.73
Plastic Polymers Co,Agriculture,Wheat,Construction,North America Plant,110.56
Construction Materials Co,Chemicals,Propylene,Manufacturing,North America Plant,446.17
Titanium Specialists,Agriculture,Cocoa,Agriculture,Southeast Asia Hub,107.52
Rubber and Tire Materials,Agriculture,Sugar,Construction,Caribbean Plant,109.26
Chemical Industries Ltd,Metals,Tin,Automotive,South America Facility,270.3
Metro Trading Co,Textiles,Nylon,Food & Beverage,Eastern Europe Facility,27.57
Chemical Industries Ltd,Agriculture,Rice,Infrastructure,Western Europe Plant,111.28
Agricultural Commodities,Plastics,PVC,Pharmaceuticals,North Asia Operations,244.33
Precious Metals Exchange,Plastics,Polyethylene,Cosmetics,Eastern Europe Facility,240.26
Precious Metals Exchange,Agriculture,Wheat,Automotive,North Asia Operations,111.13
Global Commodities Inc,Minerals,Silica,Chemicals,Oceania Facility,162.45
Steel Manufacturing Co,Chemicals,Methanol,Pharmaceuticals,North Asia Operations,437.58
Coal Mining Corp,Textiles,Wool,Oil & Gas,Caribbean Plant,25.75
Coal Mining Corp,Energy,Petroleum Products,Defense,Eastern Europe Facility,60.73
Aerospace Alloys Corp,Energy,LNG,Infrastructure,Central America Hub,58.63
Paper and Pulp Industries,Agriculture,Sugar,Packaging,South Asia Plant,114.68
Ceramic Materials Ltd,Electronics,Cobalt,Manufacturing,Southeast Asia Hub,486.47
Medical Grade Metals,Textiles,Acrylic,Telecommunications,Middle East Plant,28.62
Nickel Alloys Corp,Textiles,Cotton Fiber,Mining,Europe Manufacturing,30.15
Battery Materials Corp,Agriculture,Cocoa,Chemicals,Southeast Asia Hub,108.48
Precious Metals Exchange,Metals,Zinc,Manufacturing,Central America Hub,274.6
Rare Earth Elements Co,Chemicals,PVC,Manufacturing,South Asia Plant,428.49
Food Processing Materials,Textiles,Silk,Automotive,Oceania Facility,26.01
Coal Mining Corp,Metals,Scrap Metal,Mining,Central America Hub,273.8
Energy Dynamics,Minerals,Silica,Agriculture,Africa Operations,165.65
Global Commodities Inc,Metals,Tin,Healthcare,Oceania Facility,273.1
AgriTech Solutions,Metals,Titanium,Chemicals,South America Facility,272.1
Aluminum Corp,Chemicals,Caustic Soda,Chemicals,Western Europe Plant,441.95
Medical Grade Metals,Metals,Scrap Metal,Healthcare,Central Asia Plant,270.99
Copper Traders International,Minerals,Barite,Telecommunications,Oceania Facility,164.18
Copper Traders International,Electronics,Germanium,Electronics,North Asia Operations,498.22
Textile Raw Materials,Energy,LNG,Construction,South America Facility,57.24
Industrial Supply Ltd,Metals,Zinc,Mining,Europe Manufacturing,272.81
Metro Trading Co,Energy,Gasoline,Electronics,Middle East Plant,54.85
Wind Energy Components,Energy,Petroleum Products,Energy,South Asia Plant,57.59
Aluminum Corp,Plastics,Nylon,Agriculture,Caribbean Plant,237.15
Pharmaceutical Raw Materials,Chemicals,Urea,Agriculture,Western Europe Plant,444.88
